k_best,trials,alg,param,accuracy,precision,recall,f1
3, 100,bayes,,0.83,0.363636363636,0.14,0.202166064982
3, 100,decision_tree,split:2;leaf:1,0.778461538462,0.296296296296,0.32,0.307692307692
3, 100,decision_tree,split:2;leaf:2,0.798461538462,0.317647058824,0.27,0.291891891892
3, 100,decision_tree,split:2;leaf:3,0.817692307692,0.382165605096,0.3,0.336134453782
3, 100,decision_tree,split:3;leaf:1,0.783076923077,0.306603773585,0.325,0.315533980583
3, 100,decision_tree,split:3;leaf:2,0.801538461538,0.335227272727,0.295,0.313829787234
3, 100,decision_tree,split:3;leaf:3,0.820769230769,0.392156862745,0.3,0.339943342776
3, 100,knn,auto - 1,0.793076923077,0.288343558282,0.235,0.258953168044
3, 100,knn,auto - 2,0.842307692308,0.368421052632,0.035,0.0639269406393
3, 100,knn,auto - 3,0.824615384615,0.166666666667,0.035,0.0578512396694
3, 100,knn,ball_tree - 1,0.793076923077,0.288343558282,0.235,0.258953168044
3, 100,knn,ball_tree - 2,0.842307692308,0.368421052632,0.035,0.0639269406393
3, 100,knn,ball_tree - 3,0.824615384615,0.166666666667,0.035,0.0578512396694
3, 100,knn,kd_tree - 1,0.793076923077,0.288343558282,0.235,0.258953168044
3, 100,knn,kd_tree - 2,0.842307692308,0.368421052632,0.035,0.0639269406393
3, 100,knn,kd_tree - 3,0.824615384615,0.166666666667,0.035,0.0578512396694
3, 100,knn,brute - 1,0.793076923077,0.288343558282,0.235,0.258953168044
3, 100,knn,brute - 2,0.842307692308,0.368421052632,0.035,0.0639269406393
3, 100,knn,brute - 3,0.824615384615,0.166666666667,0.035,0.0578512396694
3, 100,ada,1,0.822307692308,0.030303030303,0.005,0.00858369098712
3, 100,ada,5,0.820769230769,0.291139240506,0.115,0.164874551971
3, 100,ada,10,0.817692307692,0.349593495935,0.215,0.266253869969
3, 100,ada,20,0.827692307692,0.415492957746,0.295,0.345029239766
3, 100,forest,1,0.796153846154,0.292993630573,0.23,0.257703081232
3, 100,forest,5,0.823846153846,0.376068376068,0.22,0.277602523659
3, 100,forest,10,0.833076923077,0.386666666667,0.145,0.210909090909
3, 100,forest,25,0.828461538462,0.350649350649,0.135,0.194945848375
