k_best,trials,alg,param,accuracy,precision,recall,f1
3, 100,bayes,,0.835384615385,0.439655172414,0.255,0.322784810127
3, 100,decision_tree,split:2;leaf:1,0.793076923077,0.341013824885,0.37,0.354916067146
3, 100,decision_tree,split:2;leaf:2,0.8,0.329545454545,0.29,0.308510638298
3, 100,decision_tree,split:2;leaf:3,0.783076923077,0.292929292929,0.29,0.291457286432
3, 100,decision_tree,split:3;leaf:1,0.792307692308,0.326732673267,0.33,0.328358208955
3, 100,decision_tree,split:3;leaf:2,0.808461538462,0.36,0.315,0.336
3, 100,decision_tree,split:3;leaf:3,0.785384615385,0.299492385787,0.295,0.297229219144
3, 100,knn,auto - 1,0.797692307692,0.325966850829,0.295,0.309711286089
3, 100,knn,auto - 2,0.845384615385,0.478260869565,0.055,0.0986547085202
3, 100,knn,auto - 3,0.82,0.216666666667,0.065,0.1
3, 100,knn,auto - 5,0.839230769231,0.0909090909091,0.005,0.00947867298578
3, 100,knn,ball_tree - 1,0.797692307692,0.325966850829,0.295,0.309711286089
3, 100,knn,ball_tree - 2,0.845384615385,0.478260869565,0.055,0.0986547085202
3, 100,knn,ball_tree - 3,0.82,0.216666666667,0.065,0.1
3, 100,knn,ball_tree - 5,0.839230769231,0.0909090909091,0.005,0.00947867298578
3, 100,knn,kd_tree - 1,0.797692307692,0.325966850829,0.295,0.309711286089
3, 100,knn,kd_tree - 2,0.845384615385,0.478260869565,0.055,0.0986547085202
3, 100,knn,kd_tree - 3,0.82,0.216666666667,0.065,0.1
3, 100,knn,kd_tree - 5,0.839230769231,0.0909090909091,0.005,0.00947867298578
3, 100,knn,brute - 1,0.797692307692,0.325966850829,0.295,0.309711286089
3, 100,knn,brute - 2,0.845384615385,0.478260869565,0.055,0.0986547085202
3, 100,knn,brute - 3,0.82,0.216666666667,0.065,0.1
3, 100,knn,brute - 5,0.839230769231,0.0909090909091,0.005,0.00947867298578
3, 100,ada,1,0.83,0.230769230769,0.045,0.0753138075314
3, 100,ada,5,0.833076923077,0.383561643836,0.14,0.205128205128
3, 100,ada,10,0.824615384615,0.390625,0.25,0.30487804878
3, 100,ada,20,0.822307692308,0.4,0.31,0.349295774648
3, 100,forest,1,0.789230769231,0.271604938272,0.22,0.243093922652
3, 100,forest,5,0.832307692308,0.397727272727,0.175,0.243055555556
3, 100,forest,10,0.841538461538,0.455882352941,0.155,0.231343283582
3, 100,forest,25,0.842307692308,0.464788732394,0.165,0.243542435424
